,LOCATION, PRECINCT,SPECIFIC AREA,BOB_2017_RATE ,BOB_2021_RATE,%DIFFERENCE,DERIVED FROM
0,"Areas starting from the Indo-Bhutan gate till the main traffic including Druk Hotel, Druk PNB, custom office, tashi store areas, Zangtopelri parks, Bhutan hotel area, Bongopa hotel area, Namgyel Phodrang shopping complex area, areas at the vicinity of Central Hotel, MIG Cinema hall and Bhutan Lottery Office.","Urban Core , UC",Town Core,"4,909","5,001.29",1.89%,FIAB
1,"Areas starting from the Indo-Bhutan gate till the main traffic including Druk Hotel, Druk PNB, custom office, tashi store areas, Zangtopelri parks, Bhutan hotel area, Bongopa hotel area, Namgyel Phodrang shopping complex area, areas at the vicinity of Central Hotel, MIG Cinema hall and Bhutan Lottery Office.","Urban Village core, UV1",Druk Hotel ,"4,909","5,001.29",1.88%,FIAB
2,"Areas starting from the Indo-Bhutan gate till the main traffic including Druk Hotel, Druk PNB, custom office, tashi store areas, Zangtopelri parks, Bhutan hotel area, Bongopa hotel area, Namgyel Phodrang shopping complex area, areas at the vicinity of Central Hotel, MIG Cinema hall and Bhutan Lottery Office.","Local Green Space System, G2",Zangthopelri area,"4,909","5,001.29",1.88%,FIAB
3,"Areas starting from the Indo-Bhutan gate till the main traffic including Druk Hotel, Druk PNB, custom office, tashi store areas, Zangtopelri parks, Bhutan hotel area, Bongopa hotel area, Namgyel Phodrang shopping complex area, areas at the vicinity of Central Hotel, MIG Cinema hall and Bhutan Lottery Office.","Institutional, I","Druk PNB, Custom office ","4,909","5,001.29",1.88%,FIAB
4,"Areas covering lower market, Deki Line and the BOD near Bhutan Hyundai","Urban Core , UC","Deki line, lower market, proposed vegetable market, BOD ","3,465","4,508.43",30.11%,FIAB
5,"Areas covering lower market, Deki Line and the BOD near Bhutan Hyundai","Institutional, I",GREF Area,"3,465","4,508.43",30.11%,FIAB
6,"All the Financial District Areas covering RICBL office, BoBL, BNB, Bhutan Post, Bhutan Telecom till RSA office, Lhaki Hotel area till Phuentsholing Thromde Office.","Institutional, I","BoBl, BNB, RICBL, Imtrat","2,079","1,828.57",-12.05%,FAIB
7,"All the Financial District Areas covering RICBL office, BoBL, BNB, Bhutan Post, Bhutan Telecom till RSA office, Lhaki Hotel area till Phuentsholing Thromde Office.","Urban Village periphery(HD), UV2","Bhutan Telecom,Consulate General of India, Pemaling Housing ","2,079","1,576.67",-24.16%,FIAB
8,"All the Financial District Areas covering RICBL office, BoBL, BNB, Bhutan Post, Bhutan Telecom till RSA office, Lhaki Hotel area till Phuentsholing Thromde Office.","Urban Village periphery(HD), UV2, UV1","Lhaki Hotel, Dungpa's Residence, Phuentsholing Thromde Office area","2,079","3,704.83",78.20%,FIAB
9,"All the residential areas within the main town including PSA ground, Dungkhag Office, RBA/RBP colony areas, BPC store, BoB Colony","Urban Village periphery(HD), UV2","Residentail areas near PSA, Petrol pump, Proposed outrach Clinic, BoB Colony area","2,079","1,828.57",-12.05%,FIAB
10,"All the residential areas within the main town including PSA ground, Dungkhag Office, RBA/RBP colony areas, BPC store, BoB Colony","Institutional, I","RBA/RBP Conlony , PMSS, PWD Colony","1,400","1,842.86",31.63%,FIAB
11,"All the residential areas within the main town including PSA ground, Dungkhag Office, RBA/RBP colony areas, BPC store, BoB Colony","Local Green Space System, G2","PSA Ground, Children's Park, Archery Ground","1,400","1,828.57",31.63%,FIAB
12,"All the residential areas within the main town including PSA ground, Dungkhag Office, RBA/RBP colony areas, BPC store, BoB Colony","Royal, R ",Royal Guest House,"1,400","1,939.42",38.53%,PAVA
13,"All the areas under NPPF colony, new hospital road, Dratshang Shedra, THPA colony, BPC RE store, FCB Auction yard ","Urban Village periphery(HD), UV2","NPPF colony, YDF Hall, THPA Colony, Auction Yard, FCB Action Yard, Area long the pavement of Crocodile Farm","1,980","1,314.29",-33.62%,FIAB
14,"All the areas under NPPF colony, new hospital road, Dratshang Shedra, THPA colony, BPC RE store, FCB Auction yard ","Urban Village core, UV1","Norgay cinema Hall, crocodile Farm","1,000","2,466.67",146.67%,FIAB
15,"All the areas under NPPF colony, new hospital road, Dratshang Shedra, THPA colony, BPC RE store, FCB Auction yard ","Multi-Mode Transit Hub, SE-2",RSTA ,"1,000","1,397.70",39.77%,PAVA
16,"All the areas under NPPF colony, new hospital road, Dratshang Shedra, THPA colony, BPC RE store, FCB Auction yard ","Institutional, I","PHSS, Hospital","1,000","1,385.30",38.53%,PAVA
17,"All the areas under NPPF colony, new hospital road, Dratshang Shedra, THPA colony, BPC RE store, FCB Auction yard ","Heritage, H",Dratshang Shedra,"1,000","1,385.30",38.53%,PAVA
18,"All the Automobile workshop Areas, Zimdra Show room, STCBL Office, KMT Press.","Dry Port and Warehousing, SE-3",All automobile workshop Areas,"2,195","1,828.57",-16.67%,FIAB
19,"All the Automobile workshop Areas, Zimdra Show room, STCBL Office, KMT Press.","Service Centers and Industry, SE-4",,"2,195","1,828.57",-16.69%,FIAB
20,"Phuntsholing Industrial Estate Areas covering pepsi factory area, hospital area and druk polythene area. ","Service Centers and Industry, SE-4","Area covering pepsi factory, hospital area and druk polythene area. ","1,040","1,314.29",26.43%,FIAB
